rec_id,co2
16549,11.10159187
16565,12.1982603
16568,3.369752369
16570,6.238763097
16582,4.705217034
16583,6.346024675
16586,6.824112781
16626,7.206586684
16633,7.600594807
16672,6.268989222
16685,6.830059348
16695,4.373140437
16710,8.060649903
16719,6.254446947
16722,17.00036277
16727,4.331786451
16730,13.77951917
16745,5.136236497
16752,5.707669799
16760,5.913963825
16769,5.859681507
16770,10.57425923
16789,14.97209295
16793,13.53394421
16795,8.759290242
16808,10.65171312
16864,8.812442182
16865,5.630992084
16909,7.978290829
16981,7.963892356
17005,7.279569159
17025,7.178514643
17048,9.561865263
17049,10.03469281
17054,15.07157802
17072,6.230862236
17163,7.107680358
17164,5.113350169
17223,18.27901031
17224,4.061337273
17260,9.46547724
17282,13.40700238
17293,5.525598164
17348,5.080164316
17360,6.962330102
17361,2.323208222
17366,17.70941402
17371,3.627185695
17386,20.91440168
17400,10.74658474
17406,12.95721675
17407,7.771081539
17410,3.47539971
17421,6.219806572
17427,6.420349695
17434,9.754089086
17453,5.523216001
17458,4.888261101
17473,4.934124518
17479,5.024495251
17482,1.046948516
17500,10.26651818
17507,10.26260134
17527,8.686343128
17529,10.74251939
17532,7.401390692
17538,15.18544447
17543,10.84399057
17556,6.767132407
17562,10.45990361
17579,5.844811552
17580,6.877134474
17634,4.532835239
17636,6.224410594
17642,9.069242544
17647,10.72266528
17656,11.29388229
17658,9.308651701
17685,4.894366204
17822,3.034393078
17862,6.18277755
17863,5.693538304
17872,10.25648032
18043,2.602641049
18074,2.413311831
18097,6.390238494
18317,6.275559914
18319,5.487059811
18575,6.611117227
30526,20.51428787
30563,3.666847944
30568,11.12579776
30608,13.7322696
30612,8.38914029
30614,5.071599844
30616,2.127398926
30628,4.751520402
30633,5.572357986
30640,4.62024035
30642,4.565201598
30647,13.27671538
30653,11.87663057
30654,10.62476203
30670,8.231116008
30682,15.69014008
30694,5.623404759
30699,10.23340481
30700,4.572463306
30714,11.64846036
30759,15.27846434
30762,5.175596409
30772,5.583698898
30788,6.675093216
30793,6.66952796
30810,4.643434026
30813,5.384504213
30814,8.21145167
30817,9.557490499
30824,4.289660414
30899,4.621859891
30940,3.52173343
31003,10.76215308
31007,5.365207631
31033,8.464457191
31061,4.971284376
31062,4.163724905
31066,9.735793814
31072,12.5998805
31080,6.789731131
31098,4.867771964
31105,3.824153806
31108,15.29837032
31131,5.323522135
31142,7.952737091
31165,11.87163875
31180,8.394856421
31202,8.927999486
31206,14.8807268
31275,14.36335893
31293,6.535189168
31295,4.231330422
31317,6.876421947
31363,6.522672498
31372,4.122286053
31402,8.886299845
31473,8.560397306
31477,9.614812698
31509,5.926811122
31531,14.67005683
31575,5.130600519
31581,6.319835025
31583,4.954474862
31591,3.830982929
31620,10.88045618
31636,11.95527849
31639,3.302629237
31641,6.114491036
31653,4.611492295
31654,6.219616211
31657,6.688180969
31697,7.063036312
31704,7.449196026
31743,6.144114843
31756,6.694009076
31766,4.286030591
31781,7.900087279
31790,6.12986253
31793,16.66172668
31798,4.245500226
31801,13.50504
31816,5.033926071
31823,5.593977206
31831,5.796161677
31840,5.742960231
31841,10.36362698
31860,14.67385815
31864,13.26435784
31866,8.584810646
31879,10.43953795
31935,8.636904699
31936,5.518826503
31980,7.819368373
32052,7.805256915
32076,7.134564854
32096,7.035523566
32119,9.371399479
32120,9.834808581
32125,14.77136182
32143,6.106748122
32234,6.966099601
32235,5.011495901
32294,17.91490476
32295,3.980438025
32331,9.276930978
32353,13.13994433
32364,5.415531858
32419,4.978970712
32431,6.823645424
32432,2.276931522
32437,17.70316689
32442,3.554934607
32457,20.49780014
32471,10.5325201
32477,12.69911804
32478,7.616286908
32481,3.406172
32492,6.095912286
32498,6.292460188
32505,9.754089086
32524,5.413197432
32529,4.790890333
32544,4.835839958
32550,4.924410809
32553,1.026094054
32571,10.06201637
32578,10.05817733
32598,8.513316876
32600,10.5285349
32603,7.253960022
32609,14.88296044
32614,10.62798461
32627,6.632335688
32633,10.25154862
32650,5.728386721
32651,6.740146542
32705,4.532835239
32707,6.100424369
32713,8.88858948
32718,10.50907683
32727,11.0689158
32729,9.123229596
32756,4.79687344
32893,2.973949962
32933,6.059620544
32934,5.580126832
32943,10.25648032
33114,2.550798061
33145,2.365240258
33168,6.262948948
33388,6.150554698
33390,5.487059811
33646,6.611117227
45597,18.4958343
45634,3.306057206
45639,10.03110129
45679,12.38111636
45683,7.563711355
45685,4.572592079
45687,2.026094229
45699,4.284006165
45704,5.024079757
45711,4.165642953
45713,4.116019762
45718,11.97038595
45724,10.70805876
45725,9.579364909
45741,7.421235372
45753,14.14634635
45765,5.070103478
45770,8.750676854
45771,4.122566879
45785,10.50233818
45830,13.06475356
45833,4.425699193
45843,5.034304435
45859,6.018313412
45864,6.013295664
45881,4.186554655
45884,4.85470867
45885,7.403505289
45888,8.61710422
45895,4.085390814
45970,4.167103074
46011,3.354031978
46074,9.703237389
46078,4.837311277
46104,7.631617147
46132,4.482147087
46133,3.754045309
46137,8.777864277
46143,11.36014673
46151,6.121671708
46169,4.388819572
46176,3.44788549
46179,13.79312378
46202,4.799727085
46213,7.170246616
46236,10.70355847
46251,7.568865243
46273,8.049550626
46277,13.41657346
46346,12.95011034
46364,5.892174871
46366,3.814998803
46388,6.199832824
46434,5.880889948
46443,3.716683597
46473,8.011954058
46544,7.718117602
46548,8.668786315
46580,5.343656776
46602,13.2266322
46646,4.625787336
46652,5.698010311
46654,4.466991297
46662,3.454042751
46691,9.809900184
46707,10.77896848
46710,2.977674965
46712,5.512870506
46724,4.157755648
46725,5.607651954
46728,6.030114018
46768,6.368085909
46775,6.716250653
46814,5.539579375
46827,6.035368096
46837,3.864317005
46852,7.122777213
46861,5.526729132
46864,15.02233643
46869,3.827774493
46872,12.17624445
46887,4.538625333
46894,5.043571415
46902,5.225862289
46911,5.177895473
46912,9.343923273
46931,13.23005988
46935,11.95924247
46937,7.740129331
46950,9.412364787
47006,7.787097195
47007,4.975814729
47051,7.050001012
47123,7.037277479
47147,6.432576993
47167,6.34328006
47190,8.449323206
47191,8.867136457
47196,13.31797006
47214,5.505889036
47305,6.280687281
47306,4.518401995
47365,16.15221135
47366,3.588792617
47402,8.364149973
47424,11.847071
47435,4.882683468
47490,4.489077284
47502,6.152249087
47503,2.052898279
47508,15.13813832
47513,3.205155332
47528,18.48096847
47542,9.496198421
47548,11.4496187
47549,6.866900367
47552,3.071029885
47563,5.496119928
47569,5.673328815
47576,9.754089086
47595,4.88057889
47600,4.319502281
47615,4.36002911
47621,4.439885499
47624,0.925133982
47642,9.071988337
47649,9.06852707
47669,7.675669483
47671,9.492605728
47674,6.540224007
47680,13.41858787
47685,9.582270417
47698,5.979762682
47704,9.242872882
47721,5.164755858
47722,6.076966369
47776,4.532835239
47778,5.500187639
47784,8.014017971
47789,9.475061292
47798,9.979817012
47800,8.225571379
47827,4.32489692
47964,2.681335529
48004,5.463399073
48005,5.031083623
48014,10.25648032
48185,2.299818439
48216,2.13251819
48239,5.646721314
48459,5.545385677
48461,5.487059811
48717,6.611117227
60668,20.73901979
60705,3.707017921
60710,11.2476794
60750,13.8827042
60754,8.481042751
60756,5.1271587
60758,1.823484836
60770,4.803572905
60775,5.633403125
60782,4.670854538
60784,4.615212878
60789,13.42216053
60795,12.00673722
60796,10.74115562
60812,8.32128695
60824,15.86202357
60836,5.685008604
60841,8.377228885
60842,4.622554148
60856,11.77606816
60901,12.50719538
60904,4.23682584
60914,5.644867801
60930,6.748217726
60935,6.742591766
60952,4.694302519
60955,5.443490743
60956,8.30140691
60959,9.66219134
60966,3.676851615
61041,4.672491759
61082,3.01862878
61145,10.88005188
61149,5.423983173
61175,8.557184156
61203,5.025744678
61204,4.209338142
61208,9.842448359
61214,12.73791159
61222,6.86411214
61240,4.921098058
61247,3.866047049
61250,15.46596215
61273,5.381840929
61284,8.039858723
61307,12.00169118
61322,8.486821353
61344,9.025804313
61348,15.0437429
61417,14.52070782
61435,6.60678136
61437,4.27768418
61459,6.951752403
61505,6.594127961
61514,4.167445193
61544,8.983648513
61615,8.654175675
61619,9.720141788
61651,5.991738915
61673,14.8307662
61717,5.186805305
61723,6.389068039
61725,5.008750697
61733,3.87295102
61762,10.99965037
61778,12.08624795
61781,3.338809296
61783,6.181475081
61795,4.662010713
61796,6.287751261
61799,6.76144928
61839,7.140411231
61846,7.530801318
61885,6.211423031
61898,6.767341038
61908,4.332983426
61923,7.986631936
61932,6.19701454
61935,16.84425389
61940,4.292009278
61943,13.65298635
61958,5.08907238
61965,5.655258086
61973,5.859657933
61982,5.805873618
61983,10.47715986
